route_id,trip_id,trip_headsign,service_id
6612,13998084,2 Macdonald/To Dunbar Loop,3
6612,13998085,2 Macdonald/To 16th Avenue,3
6612,13998086,2 Macdonald/To Dunbar Loop,3
6612,13998087,2 Macdonald/To 16th Avenue,3
6612,13998088,2 Macdonald/To Dunbar Loop,3
6612,13998089,2 Macdonald/To Dunbar Loop,3
6612,13998090,2 Macdonald/To Dunbar Loop,3
6612,13998091,2 Macdonald/To Dunbar Loop,3
6612,13998092,2 Macdonald/To Dunbar Loop,3
6612,13998093,2 Macdonald/To Dunbar Loop,3
6612,13998094,2 Macdonald/To Dunbar Loop,3
6612,13998095,2 Macdonald/To Dunbar Loop,3
6612,13998096,2 Macdonald/To Dunbar Loop,3
6612,13998097,2 Macdonald/To Dunbar Loop,3
6612,13998098,2 Macdonald/To Dunbar Loop,3
6612,13998099,2 Macdonald/To Dunbar Loop,3
6612,13998100,2 Macdonald/To Dunbar Loop,3
6612,13998101,2 Macdonald/To Dunbar Loop,3
6612,13998102,2 Macdonald/To Dunbar Loop,3
6612,13998103,2 Macdonald/To Dunbar Loop,3
6612,13998104,2 Macdonald/To Dunbar Loop,3
