trip_id,route_id,service_id,trip_headsign
13998010,6612,3,2 Macdonald/To Burrard Station
13998011,6612,3,2 Macdonald/To Burrard Station
13998012,6612,3,2 Macdonald/To Burrard Station
13998013,6612,3,2 Macdonald/To Burrard Station
13998014,6612,3,2 Macdonald/To Burrard Station
13998015,6612,3,2 Macdonald/To Burrard Station
13998016,6612,3,2 Macdonald/To Burrard Station
13998017,6612,3,2 Macdonald/To Burrard Station
13998018,6612,3,2 Macdonald/To Burrard Station
13998019,6612,3,2 Macdonald/To Burrard Station
13998020,6612,3,2 Macdonald/To Burrard Station
13998021,6612,3,2 Macdonald/To Burrard Station
13998022,6612,3,2 Macdonald/To Burrard Station
13998023,6612,3,2 Macdonald/To Burrard Station
13998024,6612,3,2 Macdonald/To Burrard Station
13998025,6612,3,2 Macdonald/To Burrard Station
13998026,6612,3,2 Macdonald/To Burrard Station
13998027,6612,3,2 Macdonald/To Burrard Station
13998028,6612,3,2 Macdonald/To Burrard Station
13998029,6612,3,2 Macdonald/To Burrard Station
13998030,6612,3,2 Macdonald/To Burrard Station
13998031,6612,3,2 Macdonald/To Burrard Station
13998032,6612,3,2 Macdonald/To Burrard Station
13998033,6612,3,2 Macdonald/To Burrard Station
13998034,6612,3,2 Macdonald/To Burrard Station
13998035,6612,3,2 Macdonald/To Burrard Station
13998036,6612,3,2 Macdonald/To Burrard Station
13998037,6612,3,2 Macdonald/To Burrard Station
13998038,6612,3,2 Macdonald/To Burrard Station
13998039,6612,3,2 Macdonald/To Burrard Station
13998040,6612,3,2 Macdonald/To Burrard Station
13998041,6612,3,2 Macdonald/To Burrard Station
13998042,6612,3,2 Macdonald/To Burrard Station
13998043,6612,3,2 Macdonald/To Burrard Station
13998044,6612,3,2 Macdonald/To Burrard Station
13998045,6612,3,2 Macdonald/To Burrard Station
13998046,6612,3,2 Macdonald/To Burrard Station
13998047,6612,3,2 Macdonald/To Burrard Station
13998048,6612,3,2 Macdonald/To Burrard Station
13998049,6612,3,2 Macdonald/To Burrard Station
13998050,6612,3,2 Macdonald/To Burrard Station
13998051,6612,3,2 Macdonald/To Burrard Station
13998052,6612,3,2 Macdonald/To Dunbar Loop
13998053,6612,3,2 Macdonald/To Dunbar Loop
13998054,6612,3,2 Macdonald/To Dunbar Loop
13998055,6612,3,2 Macdonald/To Dunbar Loop
13998056,6612,3,2 Macdonald/To Dunbar Loop
13998057,6612,3,2 Macdonald/To Dunbar Loop
13998058,6612,3,2 Macdonald/To Dunbar Loop
13998059,6612,3,2 Macdonald/To Dunbar Loop
13998060,6612,3,2 Macdonald/To Dunbar Loop
13998061,6612,3,2 Macdonald/To 16th Avenue
13998062,6612,3,2 Macdonald/To Dunbar Loop
13998063,6612,3,2 Macdonald/To 16th Avenue
13998064,6612,3,2 Macdonald/To Dunbar Loop
13998065,6612,3,2 Macdonald/To 16th Avenue
13998066,6612,3,2 Macdonald/To Dunbar Loop
13998067,6612,3,2 Macdonald/To 16th Avenue
13998068,6612,3,2 Macdonald/To Dunbar Loop
13998069,6612,3,2 Macdonald/To 16th Avenue
13998070,6612,3,2 Macdonald/To Dunbar Loop
13998071,6612,3,2 Macdonald/To 16th Avenue
13998072,6612,3,2 Macdonald/To Dunbar Loop
13998073,6612,3,2 Macdonald/To 16th Avenue
13998074,6612,3,2 Macdonald/To Dunbar Loop
13998075,6612,3,2 Macdonald/To 16th Avenue
13998076,6612,3,2 Macdonald/To Dunbar Loop
13998077,6612,3,2 Macdonald/To 16th Avenue
13998078,6612,3,2 Macdonald/To Dunbar Loop
13998079,6612,3,2 Macdonald/To 16th Avenue
13998080,6612,3,2 Macdonald/To Dunbar Loop
13998081,6612,3,2 Macdonald/To 16th Avenue
13998082,6612,3,2 Macdonald/To Dunbar Loop
13998083,6612,3,2 Macdonald/To 16th Avenue
13998084,6612,3,2 Macdonald/To Dunbar Loop
13998085,6612,3,2 Macdonald/To 16th Avenue
13998086,6612,3,2 Macdonald/To Dunbar Loop
13998087,6612,3,2 Macdonald/To 16th Avenue
13998088,6612,3,2 Macdonald/To Dunbar Loop
13998089,6612,3,2 Macdonald/To Dunbar Loop
13998090,6612,3,2 Macdonald/To Dunbar Loop
13998091,6612,3,2 Macdonald/To Dunbar Loop
13998092,6612,3,2 Macdonald/To Dunbar Loop
13998093,6612,3,2 Macdonald/To Dunbar Loop
13998094,6612,3,2 Macdonald/To Dunbar Loop
13998095,6612,3,2 Macdonald/To Dunbar Loop
13998096,6612,3,2 Macdonald/To Dunbar Loop
13998097,6612,3,2 Macdonald/To Dunbar Loop
13998098,6612,3,2 Macdonald/To Dunbar Loop
13998099,6612,3,2 Macdonald/To Dunbar Loop
13998100,6612,3,2 Macdonald/To Dunbar Loop
13998101,6612,3,2 Macdonald/To Dunbar Loop
13998102,6612,3,2 Macdonald/To Dunbar Loop
13998103,6612,3,2 Macdonald/To Dunbar Loop
13998104,6612,3,2 Macdonald/To Dunbar Loop
